subject,gender,room1_stress,room1_fear,room1_escape,room2_stress,room2_fear,room2_escape,room3_stress,room3_fear,room3_escape,room4_stress,room4_fear,room4_escape,room5_stress,room5_fear,room5_escape,room6_stress,room6_fear,room6_escape,room7_stress,room7_fear,room7_escape,room8_stress,room8_fear,room8_escape,room9_stress,room9_fear,room9_escape,room1_average,room2_average,room3_average,room4_average,room5_average,room6_average,room7_average,room8_average,room9_average
1,F,9,6.6,10,7.6,3.6,8,7.2,3.6,7.8,5,2.4,6.2,4.6,2.4,5.8,4.4,2.8,5.6,3.4,2.2,4.2,3.2,2,4.4,3.2,1.6,4.8,8.533333333,6.4,6.2,4.533333333,4.266666667,4.266666667,3.266666667,3.2,3.2
2,M,2.4,2.6,3,2.2,2.2,3,2.2,1.6,3.2,1.4,0.6,1.8,0.6,0.8,1.4,0.6,0.4,1.2,0.4,0.8,1.2,0.6,1.2,1.2,0.6,0.8,1.6,2.666666667,2.466666667,2.333333333,1.266666667,0.933333333,0.733333333,0.8,1,1
3,M,5.8,2.8,5.2,4.8,2,4.4,4.4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4.6,3.733333333,3.466666667,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333
4,F,3.6,1.8,3.6,1.8,1.2,2.4,0.8,0.2,0.8,0.8,0.4,0.4,0.6,0.4,0.6,0.4,0.4,0.8,0,0,0,0,0,0,0.2,0.6,0.8,3,1.8,0.6,0.533333333,0.533333333,0.533333333,0,0,0.533333333
5,M,3.4,3.4,3.4,2.8,2.8,2.8,2.6,2.6,2.6,2.2,2.2,2.2,2.2,2.2,2.2,1.8,1.8,1.8,1.6,1.6,1.6,1.2,1.2,1.2,1.4,1.4,1.4,3.4,2.8,2.6,2.2,2.2,1.8,1.6,1.2,1.4
6,F,5.2,1.4,5,4,0.8,3.8,3.6,1,3.2,2.6,0,2.6,2.4,0.6,2.4,2.4,0.2,2.4,2.2,0,2.4,2.2,0,2,2,0,1,3.866666667,2.866666667,2.6,1.733333333,1.8,1.666666667,1.533333333,1.4,1
7,F,4,0.6,1.2,2.2,0.2,0.4,1.2,0,0.2,0.6,0,0.2,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.933333333,0.933333333,0.466666667,0.266666667,0.2,0,0,0,0
8,F,2.6,0.6,1.8,0.6,0.4,0,0.6,0.4,0.2,0.4,0,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0.2,1,0.4,0.8,1.666666667,0.333333333,0.4,0.133333333,0.066666667,0.2,0,0.133333333,0.733333333
9,F,4.6,3.4,4.4,3.4,2.4,3.2,3.8,2.4,2.4,3.6,2.6,1.6,3.4,2.2,1.8,2.8,1.8,0.2,3,2.2,1,2.2,1.4,1.2,2.2,1.4,0.8,4.133333333,3,2.866666667,2.6,2.466666667,1.6,2.066666667,1.6,1.466666667
10,M,4.8,3,4,6,3,5,4.8,3,4.4,5.6,3,4.6,3,4,3.4,3.6,3.4,4,3.2,3.6,3.8,3,3.4,3.4,4.4,3.6,4.2,3.933333333,4.666666667,4.066666667,4.4,3.466666667,3.666666667,3.533333333,3.266666667,4.066666667
